mh_voltage_V,dac_code,adc_code,drop_current_A,through_current_A
0.05,0,120,9.119959779476703e-07,0.000965280499046213
0.0590909090909091,0,118,8.99288726267058e-07,0.0009657535266436641
0.06818181818181818,0,116,8.839641900108052e-07,0.0009663240775767052
0.07727272727272727,0,114,8.66999824366684e-07,0.0009669558037805052
0.08636363636363636,0,111,8.486415381593088e-07,0.0009676395843292245
0.09545454545454546,0,109,8.289203910803674e-07,0.0009683742991877209
0.10454545454545455,0,106,8.082512322502892e-07,0.0009691445270428572
0.11363636363636363,0,103,7.866731083780206e-07,0.0009699488426558872
0.12272727272727273,0,100,7.64440217062833e-07,0.000970777797738267
0.13181818181818183,0,97,7.416938039737107e-07,0.000971626147277599
0.14090909090909093,0,94,7.187021065719033e-07,0.0009724839016750423
0.15,0,91,6.95586939412663e-07,0.0009733465236408943
0.1590909090909091,360,88,6.725014933855415e-07,0.0009742082974871041
0.16818181818181818,720,85,6.495873617500397e-07,0.0009750639317209559
0.17727272727272725,1080,82,6.269616294707989e-07,0.0009759090415889524
0.18636363636363634,1448,79,6.047527579820281e-07,0.0009767388092213585
0.19545454545454544,1808,76,5.830525429897228e-07,0.0009775497786818463
0.20454545454545453,2168,74,5.619296194535939e-07,0.000978339352924705
0.21363636363636362,2528,71,5.414544284997487e-07,0.000979104861341322
0.22272727272727272,2888,68,5.216985359952375e-07,0.0009798435854835063
0.2318181818181818,3248,66,5.026956367853505e-07,0.0009805542180214958
0.2409090909090909,3608,64,4.844813849595654e-07,0.0009812353742672192
0.25,3968,61,4.670797359765942e-07,0.0009818861034098431
0.2590909090909091,4336,59,4.50509512421874e-07,0.0009825056434940237
0.2681818181818182,4696,57,4.3472382727205547e-07,0.0009830956857368922
0.2772727272727273,5056,55,4.198411035685709e-07,0.0009836517401154803
0.2863636363636364,5416,53,4.0584948310727744e-07,0.000984174186995255
0.29545454545454547,5776,51,3.926033957798051e-07,0.000984668392101184
0.3045454545454545,6136,50,3.802446196885901e-07,0.0009851289937525024
0.3136363636363636,6496,48,3.6871804497689515e-07,0.000985557977367162
0.3227272727272727,6864,47,3.580024479453858e-07,0.0009859560586069792
0.3318181818181818,7224,46,3.4807894213227023e-07,0.0009863238596181363
0.3409090909090909,7584,44,3.3897227004859423e-07,0.0009866603840054352
0.35,7944,43,3.3063506962556783e-07,0.000986967297833192
0.35909090909090907,8304,42,3.2307299742364545e-07,0.0009872442983231923
0.36818181818181817,8664,41,3.16277185029511e-07,0.0009874916101765972
0.37727272727272726,9024,41,3.102651719542687e-07,0.0009877084946018
0.38636363636363635,9392,40,3.0497074177333e-07,0.000987897200906434
0.39545454545454545,9752,39,3.0046425124444926e-07,0.000988055061303132
0.40454545454545454,10112,39,2.9672766006868936e-07,0.0009881825520096296
0.41363636363636364,10472,39,2.937846589046275e-07,0.0009882786709975184
0.4227272727272727,10832,38,2.916289223597253e-07,0.0009883433341100595
0.43181818181818177,11192,38,2.9029669450182416e-07,0.0009883749369308734
0.44090909090909086,11552,38,2.8983146414988207e-07,0.000988371735423758
0.44999999999999996,11912,38,2.9026954410556874e-07,0.0009883319551492506
0.45909090909090905,12280,38,2.9166652176891115e-07,0.0009882531782350419
0.46818181818181814,12640,39,2.9408978394866474e-07,0.0009881324654480265
0.47727272727272724,13000,39,2.9762812194313504e-07,0.0009879659495335054
0.48636363636363633,13360,40,3.0238522593883717e-07,0.0009877491717449566
0.4954545454545454,13720,40,3.08491100426817e-07,0.000987476544213295
0.5045454545454545,14080,41,3.1606281019770973e-07,0.0009871430902104296
0.5136363636363637,14440,43,3.253844667881033e-07,0.0009867365517560928
0.5227272727272727,14808,44,3.366636214710015e-07,0.0009862481273379315
0.5318181818181819,15168,46,3.502050440982803e-07,0.000985664812556471
0.5409090909090909,15528,48,3.6638780599184283e-07,0.0009849704406346262
0.55,15888,51,3.857240477350963e-07,0.0009841431707261162
0.5590909090909091,16248,54,4.0883452817110315e-07,0.000983156542646783
0.5681818181818182,16608,57,4.3653092100558344e-07,0.0009819759513208374
0.5772727272727273,16968,62,4.6989162205168334e-07,0.0009805554104917787
0.5863636363636364,17328,67,5.102701569878943e-07,0.000978837174329901
0.5954545454545455,17696,73,5.595775067424016e-07,0.0009767396858769148
0.6045454545454546,18056,81,6.204610777968417e-07,0.0009741499080830042
0.6136363636363636,18416,91,6.965589290772387e-07,0.0009709124036761095
0.6227272727272728,18776,104,7.929296395110382e-07,0.0009668108756310267
0.6318181818181818,19136,120,9.176726756986049e-07,0.0009614989000455227
0.6409090909090909,19496,142,1.0824664437488514e-06,0.0009544764532417755
0.65,19856,171,1.30596731184179e-06,0.0009449441438390806
0.6590909090909091,20224,212,1.6189063256555898e-06,0.0009315840056881775
0.6681818181818182,20584,272,2.075783771703925e-06,0.0009120564805951135
0.6772727272727272,20944,364,2.776898182254487e-06,0.0008820505249664367
0.6863636363636364,21304,515,3.926704043897816e-06,0.0008327651711405302
0.6954545454545454,21664,783,5.97392691452497e-06,0.0007448403106724013
0.7045454545454546,22024,1308,9.976121266455703e-06,0.0005724557582942966
0.7136363636363636,22384,2304,1.7581134700168754e-05,0.00024306522314936215
0.7227272727272728,22752,2983,2.276154152894272e-05,1.5704444186554553e-05
0.7318181818181818,23112,2371,1.8088936681648457e-05,0.00021709657926472216
0.740909090909091,23472,1528,1.165476721971303e-05,0.0004951977861587532
0.75,23832,947,7.228315336340536e-06,0.0006864287909764434
0.7590909090909091,24192,609,4.649652173228782e-06,0.0007978735143304721
0.7681818181818182,24552,414,3.161023989157875e-06,0.0008622636414068935
0.7772727272727273,24912,297,2.2649746707298613e-06,0.0009010619318805024
0.7863636363636364,25272,222,1.697076347820731e-06,0.0009256780390561735
0.7954545454545454,25640,173,1.3198462959501094e-06,0.0009420467151053393
0.8045454545454546,26000,139,1.0583374347156102e-06,0.0009534052795729691
0.8136363636363636,26360,114,8.710524030628267e-07,0.0009615471680455019
0.8227272727272728,26720,96,7.330154591096088e-07,0.0009675525511693375
0.8318181818181818,27080,82,6.288022768255373e-07,0.0009720889381754083
0.8409090909090909,27440,72,5.486859892043623e-07,0.0009755774816896995
0.85,27800,64,4.860777164726437e-07,0.0009783036440270349
0.8590909090909091,28168,57,4.3655163452777726e-07,0.000980459231908788
0.8681818181818182,28528,52,3.9711515228659533e-07,0.0009821739461489476
0.8772727272727273,28888,48,3.6556277800167264e-07,0.0009835433834109043
0.8863636363636364,29248,45,3.40227104344416e-07,0.0009846397703600625
0.8954545454545455,29608,42,3.1998227113162253e-07,0.0009855117821875126
0.9045454545454545,29968,40,3.040282350748895e-07,0.0009861939229192207
0.9136363636363637,30328,38,2.917184404962459e-07,0.000986713932336045
0.9227272727272727,30688,37,2.826230297785526e-07,0.0009870900803457658
0.9318181818181818,31056,36,2.7642427671317404e-07,0.0009873356043018974
0.9409090909090909,31416,36,2.7294035055483983e-07,0.0009874577228091291
0.95,31776,36,2.720870696509998e-07,0.0009874591958717544
